fecha|pais|operadora|ruta|tipo_aeronave|abordo|pasajeros|tripulantes|bajas|bajas_pasajeros|bajas_tripulacion|bajas_tierra
1939-08-04|Spain|Deutsche Lufthansa|Cologne  Toulouse  Barcelona  Casablanca|Junkers|7|4|3|7|4|3|0
1939-08-13|Brazil|Pan American World Airways|Miami  Rio de Janerio|Sikorsky Aircraft Corporation|16|12|4|14|10|4|0
1939-08-15|Denmark|British Airways|London  Hamburg  Copenhagen|Lockheed Martin|6|4|2|5|4|1|0
1939-08-28|India|Indian National Airways|Calcutta  Dum Dum|De Havilland|2|1|1|2|1|1|0
1939-08-30|Germany|Deutsche Lufthansa|Berlin  Hanover  Cologne  London|Junkers|7|4|3|7|4|3|0
1939-09-26|other|KLM Royal Dutch Airlines|Copenhagen  Amsterdam|McDonnell Douglas|20|15|5|1|1|0|0
1939-10-10|Colombia|Scarta|Barranquilla  Girardot|Junkers|5|3|2|5|3|2|0
1939-11-20|England|British Airways|Training|other|2|0|2|2|0|2|0
1939-12-18|other|Iberia Airlines|Tetouan Seville  Alicante|Junkers|9|6|3|9|6|3|0
1939-12-21|Malta|British Airways|Egypt  England|Lockheed Martin|8|6|2|5|3|2|0
1939-12-24|Morocco|Linee Aeree Italiane|Rome  Rio de Janerio|other|7|3|4|7|3|4|0
1940-01-22|Indonesia|KNILM|Batavia  Denpasar  Kupang  Darwin  Sydney|Lockheed Martin|9|5|4|8|5|3|0
1940-02-10|Italy|Ala Littoria SA|Catania  Brindisi  Rome|other|10|4|6|10|4|6|0
1940-02-27|other|SCADTA|Bogota  Cucuta|Boeing|11|9|2|11|9|2|0
1940-03-01|Oman|Imperial Airways|Calcutta  Jask  Sharjah  Alexandria  London|Handley Page|8|4|4|8|4|4|0
